latitude_deg	longitude_deg	height_m	gravity_mGal	survey_ID	year	xGEOID17RefB	h
36.898	-102.87167	1334.7	979476.492	746	9999	-23.78399194896	1310.91600805104
36.8965	-108.19833	1747.7	979326.356	746	9999	-21.51063994834	1726.18936005166
36.8965	-106.85	2230.6	979192.223	746	9999	-19.02414888549	2211.57585111451
36.894	-107.44	1897.1	979273.918	746	9999	-20.81800570864	1876.28199429136
36.894	-102.28832999999996	1180.8	979526.999	746	9999	-25.2598286137	1155.5401713863
36.8925	-106.58333	2383.4	979169.496	746	9999	-17.94842663201	2365.45157336799
36.8925	-102.24167	1208.5	979519.333	746	9999	-25.37736552788	1183.12263447212
36.8925	-102.18833	1191.2	979524.05	746	9999	-25.52117670085	1165.67882329915
36.8925	-102.13333	1170.4	979529.053	746	9999	-25.66291317244	1144.73708682756
36.8925	-102.07999999999998	1147.6	979533.846	746	9999	-25.7812030247	1121.8187969752998
36.89083	-107.14167	2160.4	979212.033	746	9999	-19.99539902716	2140.40460097284
36.8885	-107.685	1995.8	979247.209	746	9999	-21.2700408538	1974.5299591461999
36.887	-109.00333	1570.0	979387.502	746	9999	-21.51913602483	1548.48086397517
36.88533	-108.345	1706.0	979340.291	746	9999	-21.53320298284	1684.46679701716
36.88533	-106.72833	2335.1	979177.008	746	9999	-18.58014013576	2316.51985986424
36.88533	-106.62833	2373.5	979171.757	746	9999	-18.19664802102	2355.30335197898
36.88367	-108.045	1826.7	979304.391	746	9999	-21.49115619997	1805.20884380003
36.88283	-108.115	1840.7	979302.679	746	9999	-21.54199147028	1819.15800852972
36.88217	-108.39167	1687.4	979345.764	746	9999	-21.54905292275	1665.85094707725
36.88217	-106.58383	2375.3	979170.054	746	9999	-18.01443801251	2357.2855619874904
36.87817	-108.87333	1479.2	979408.54	746	9999	-21.65276968128	1457.54723031872
36.87817	-106.675	2334.2	979178.215	746	9999	-18.42227649706	2315.77772350294
36.87817	-106.56683	2424.4	979160.524	746	9999	-17.94834549089	2406.45165450911
36.87817	-102.675	1278.6	979491.958	746	9999	-24.34586842014	1254.2541315798599
36.87567	-102.38666999999998	1214.3	979517.986	746	9999	-25.03006196098	1189.26993803902
36.875	-108.92333	1470.4	979404.629	746	9999	-21.6357783646	1448.7642216354002
36.87333	-107.78333	1878.5	979278.944	746	9999	-21.37001643181	1857.12998356819
36.87333	-106.93	2227.5	979192.569	746	9999	-19.40926286981	2208.09073713019
36.87333	-102.45833	1196.3	979519.075	746	9999	-24.8693032635	1171.4306967365
36.871	-107.89	1831.5	979298.092	746	9999	-21.45162785851	1810.04837214149
36.871	-107.84833	1903.0	979279.199	746	9999	-21.42174680256	1881.57825319744
36.87017	-107.08483	2343.0	979170.729	746	9999	-19.89457522274	2323.10542477726
36.87017	-102.62833	1241.8	979500.465	746	9999	-24.47039238422	1217.3296076157799
36.8695	-108.82333	1480.1	979412.98	746	9999	-21.63575601886	1458.4642439811398
36.8695	-108.71333	1543.9	979400.083	746	9999	-21.58206939523	1522.31793060477
36.8695	-108.61667	1584.7	979390.856	746	9999	-21.55420509812	1563.14579490188
36.86783	-108.57	1647.1	979369.624	746	9999	-21.55361406221	1625.5463859377899
36.86783	-102.51166999999998	1214.3	979510.676	746	9999	-24.75476751704	1189.54523248296
36.86383	-102.72833000000004	1301.2	979484.841	746	9999	-24.20386603027	1276.99613396973
36.863	-108.95667	1558.1	979380.603	746	9999	-21.59393295437	1536.5060670456298
36.863	-102.93833	1327.7	979472.787	746	9999	-23.60337515079	1304.09662484921
36.863	-102.80167	1313.1	979479.886	746	9999	-24.00149165629	1289.09850834371
36.86217	-107.42667	1952.9	979259.626	746	9999	-20.84974874068	1932.05025125932
36.86067	-107.73333	1816.9	979290.431	746	9999	-21.36869737141	1795.53130262859
36.85983	-108.21667	1692.6	979336.865	746	9999	-21.65419696826	1670.9458030317398
36.85817	-108.025	1767.5	979313.88	746	9999	-21.56440866474	1745.93559133526
36.85817	-107.00333	2155.5	979207.734	746	9999	-19.69535281503	2135.80464718497
36.8575	-108.50667	1684.0	979355.611	746	9999	-21.60973036796	1662.39026963204
36.85433	-108.14	1795.0	979310.331	746	9999	-21.66909195885	1773.33090804115
36.85267	-108.78667	1471.6	979414.248	746	9999	-21.63169364121	1449.96830635879
36.85117	-108.41	1670.9	979348.628	746	9999	-21.6777874078	1649.2222125922
36.85117	-102.88833	1323.4	979474.752	746	9999	-23.75925025406	1299.6407497459402
