Lon	Lat	h	gravity disturbance(mGal)
11.166667	43.666667	203.01704	40.4952184228
11.166667	43.75	67.373893	21.74431759254
11.166667	43.833333	52.34441	11.75698161227
11.166667	43.916667	355.55696	41.02121730067
11.166667	44	463.53356	33.35879995046
11.166667	44.083333	742.4672	44.39107762817
11.166667	44.166667	733.15044	15.8093882737
11.166667	44.25	364.67327	-51.73703677155
11.166667	44.333333	377.59054	-77.88289563422
11.166667	44.416667	347.0745	-92.54665086118
11.166667	44.5	82.876979	-117.1670213614
11.166667	44.583333	29.187575	-117.930020205
11.166667	44.666667	14.959524	-109.1129534322
11.166667	44.75	43.115649	-82.56118119014
11.166667	44.833333	0	-57.19521639236
11.166667	44.916667	30.346821	-34.31993160508
11.166667	45	0	-40.14835470247
11.25	42.5	59.530075	52.06048928823
11.25	42.583333	65.014102	50.05291763371
11.25	42.666667	252.35047	74.24399668476
11.25	42.75	88.929848	55.88527117357
11.25	42.833333	85.816903	54.84359274313
11.25	42.916667	144.60206	58.35094329729
11.25	43	196.44784	56.23429007233
11.25	43.083333	347.6591	69.09510238611
11.25	43.166667	311.12727	68.5070100003
11.25	43.25	259.58868	64.54569826015
11.25	43.333333	336.81962	75.7741522051
11.25	43.416667	333.90311	70.73514557572
11.25	43.5	363.28375	71.70139783366
11.25	43.583333	302.90891	51.97092986275
11.25	43.666667	193.75863	39.7850257011
11.25	43.75	66.43998	19.52752174716
11.25	43.833333	247.65507	33.99916289286
11.25	43.916667	452.89621	49.11561220364
11.25	44	280.31709	6.190954407792
11.25	44.083333	687.90728	35.17329251661
11.25	44.166667	888.00637	31.64587855178
11.25	44.25	571.89861	-34.23679150156
11.25	44.333333	293.49199	-84.9001426257
11.25	44.416667	236.40597	-93.62853189518
11.25	44.5	67.936836	-114.817815999
11.25	44.583333	22.589408	-109.6706118407
11.25	44.666667	13.520642	-97.57302013558
11.25	44.75	7.4595129	-71.89015190594
11.25	44.833333	1.0380867	-48.90988976491
11.25	44.916667	4.1120629	-29.3170964019
11.25	45	0	-28.18771612585
11.333333	42.416667	16.676727	50.12226216632
11.333333	42.5	86.927669	52.69232209884
11.333333	42.583333	19.647382	48.5437935291
11.333333	42.666667	346.3707	79.54520042883
11.333333	42.75	305.29951	72.71100507964
11.333333	42.833333	156.4155	52.67698189364
11.333333	42.916667	112.6228	46.0466237671
11.333333	43	173.67801	55.38767749478
11.333333	43.083333	266.22466	64.64146394141
11.333333	43.166667	259.09818	66.28524083236
11.333333	43.25	199.35961	55.05209475114
11.333333	43.333333	267.04083	63.39574479206
11.333333	43.416667	390.65983	74.5771093225
11.333333	43.5	449.16217	82.11145158992
11.333333	43.583333	483.89311	73.49232331499
11.333333	43.666667	386.93368	56.64193976749
11.333333	43.75	186.16971	23.19293016342
11.333333	43.833333	420.03032	44.57001000677
11.333333	43.916667	466.85905	38.66407303992
11.333333	44	294.41153	3.29118372342
11.333333	44.083333	712.04679	31.78959209862
11.333333	44.166667	767.51368	21.69874332942
11.333333	44.25	674.06212	-22.10895652492
11.333333	44.333333	332.97728	-82.16317634417
11.333333	44.416667	177.45652	-99.40978254992
11.333333	44.5	71.954929	-111.7509458526
11.333333	44.583333	32.104431	-102.2071601215
11.333333	44.666667	12.910001	-90.75164833732
11.333333	44.75	2.4956446	-60.32913151905
11.333333	44.833333	25.332593	-33.83855271313
11.333333	44.916667	7.0201407	-18.5735010561
11.333333	45	6.7989875	-15.51408783165
11.416667	42.416667	20.682672	53.90087908506
11.416667	42.5	130.94587	58.77972667658
11.416667	42.583333	55.974626	51.23954798041
11.416667	42.666667	287.49744	69.65919103781
11.416667	42.75	461.23937	80.1175378184
11.416667	42.833333	418.27485	70.32516273267
11.416667	42.916667	192.85492	46.59031368899
11.416667	43	220.95692	60.82190297541
11.416667	43.083333	272.46246	65.38296715242
11.416667	43.166667	208.00489	54.93499598579
11.416667	43.25	246.52742	52.1198300893
11.416667	43.333333	213.03014	54.26536427944
11.416667	43.416667	410.54859	75.432834746
11.416667	43.5	586.26058	86.73654524181
11.416667	43.583333	420.36018	62.65251795199
11.416667	43.666667	276.30303	37.5659820234
11.416667	43.75	173.77864	13.40861949792
11.416667	43.833333	354.72964	32.21024104274
11.416667	43.916667	326.55037	12.42693660135
11.416667	44	419.30323	17.27407047483
11.416667	44.083333	780.93943	37.77100880402
11.416667	44.166667	572.60437	2.447492895286
11.416667	44.25	528.608	-28.4859517043
11.416667	44.333333	330.03729	-77.73502578772
11.416667	44.416667	199.84761	-95.82082627499
11.416667	44.5	47.177985	-106.8975822632
11.416667	44.583333	18.812249	-92.83812131251
11.416667	44.666667	11.104094	-73.03628729325
11.416667	44.75	22.119657	-44.66950130482
11.416667	44.833333	6.2962574	-24.26362702579
11.416667	44.916667	9.963206	-6.39980122763
11.416667	45	0.48705352	-10.0945686702
11.5	42.416667	23.988754	54.31320840561
11.5	42.5	229.99646	68.89723180006
11.5	42.583333	237.09202	62.79013714963
11.5	42.666667	218.08362	58.13247357072
11.5	42.75	478.24009	75.89085662385
11.5	42.833333	753.40902	100.7867257918
11.5	42.916667	461.9868	77.22538847723
11.5	43	278.58036	65.82112402445
11.5	43.083333	308.79978	66.10466903787
11.5	43.166667	134.18948	44.53615272837
11.5	43.25	212.82988	51.74863842736
11.5	43.333333	254.36553	58.22851427784
11.5	43.416667	470.25853	78.84571500636
11.5	43.5	446.32346	63.20447707164
11.5	43.583333	71.818062	8.159376508132
11.5	43.666667	260.72871	25.79462983672
11.5	43.75	432.84054	39.45950892152
11.5	43.833333	398.51634	31.76596963907
11.5	43.916667	311.49179	3.46412149046
11.5	44	621.78684	32.51620279272
11.5	44.083333	795.23589	39.09627263337
11.5	44.166667	542.85065	-2.900883589874
11.5	44.25	405.1624	-40.42087988676
11.5	44.333333	238.40901	-79.78137238833
11.5	44.416667	161.62197	-92.89738808782
11.5	44.5	0	-105.4634155258
11.5	44.583333	25.289705	-85.74202208713
11.5	44.666667	0	-57.45182316623
11.5	44.75	23.841107	-33.86815660704
11.5	44.833333	0	-20.48580207923
11.5	44.916667	15.848268	2.960861957746
11.5	45	0	-5.446558792244
11.583333	42.333333	28.987183	52.81861035709
11.583333	42.416667	52.587679	50.36183802751
11.583333	42.5	200.63208	66.05383138307
11.583333	42.583333	240.98646	62.10410945009
11.583333	42.666667	272.56677	64.21874150284
11.583333	42.75	564.34717	81.59352469939
11.583333	42.833333	990.56893	117.7471963073
11.583333	42.916667	803.8759	103.5108953888
11.583333	43	333.39559	65.05569262654
11.583333	43.083333	348.94986	70.09754903411
11.583333	43.166667	251.54062	57.91313858285
11.583333	43.25	277.6454	61.49067497212
11.583333	43.333333	349.50006	64.40519414674
11.583333	43.416667	436.79743	71.55129011664
11.583333	43.5	175.74215	35.25029518414
11.583333	43.583333	215.19271	24.14153523702
11.583333	43.666667	883.55381	89.17797310932
11.583333	43.75	923.12307	85.30383321599
11.583333	43.833333	682.28363	51.53641256115
11.583333	43.916667	581.20785	31.19603094319
11.583333	44	816.5393	43.77947773815
11.583333	44.083333	667.81058	23.63101349001
11.583333	44.166667	517.05342	-6.469760777428
11.583333	44.25	338.15467	-51.58489760237
11.583333	44.333333	152.60424	-90.58982433796
11.583333	44.416667	99.796763	-99.76115833794
