Lon	Lat	h	gravity disturbance(mGal)
18.32	42.28	2500	-31.50879107761
18.389	42.236	2500	-36.79824028193
18.458	42.192	2500	-41.56079888329
18.527	42.148	2500	-43.37938307533
18.596	42.104	2500	-43.90688378653
18.665	42.06	2500	-48.05401410959
18.734	42.016	2500	-55.17250556188
18.803	41.972	2500	-59.51989571802
18.872	41.928	2500	-61.98668967095
18.941	41.884	2500	-68.81897845528
19.01	41.84	2500	-78.1273554999
19.079	41.796	2500	-81.87982485506
19.148	41.752	2500	-80.40806594352
19.217	41.708	2500	-82.19644697203
19.286	41.664	2500	-89.45006464831
19.355	41.62	2500	-92.18998713276
19.424	41.576	2500	-80.35691723833
19.493	41.532	2500	-59.82832615299
19.562	41.488	2500	-47.74250798967
19.631	41.444	2500	-50.21979906026
19.7	41.4	2500	-57.9988023766
13.666	44.984	2500	29.46360850213
13.735	44.94	2500	25.69356561501
13.804	44.896	2500	20.29946508308
13.873	44.852	2500	16.87286036489
13.942	44.808	2500	16.40916501451
14.011	44.764	2500	14.98271685421
14.08	44.72	2500	10.11077863584
14.149	44.676	2500	7.45721619797
14.218	44.632	2500	12.16198631493
14.287	44.588	2500	18.02065228436
14.356	44.544	2500	17.11299579146
14.425	44.5	2500	12.68666893033
14.494	44.456	2500	10.8074144098
14.563	44.412	2500	9.780989319275
14.632	44.368	2500	7.089117206327
14.701	44.324	2500	4.934549994573
14.77	44.28	2500	4.321366944104
14.839	44.236	2500	4.409905906755
14.908	44.192	2500	6.259263324893
14.977	44.148	2500	9.306224666794
15.046	44.104	2500	10.55449920813
15.115	44.06	2500	10.38213493967
15.184	44.016	2500	10.57360094663
15.253	43.972	2500	9.903306992598
15.322	43.928	2500	9.492099959729
15.391	43.884	2500	12.92768239853
15.46	43.84	2500	16.91734965501
15.529	43.796	2500	15.68625379971
15.598	43.752	2500	12.58928453467
15.667	43.708	2500	12.41348281962
15.736	43.664	2500	11.72632343422
15.805	43.62	2500	9.435122475487
15.874	43.576	2500	10.50867551733
15.943	43.532	2500	12.18311463536
16.012	43.488	2500	7.281409013693
16.081	43.444	2500	0.5936330744305
16.15	43.4	2500	0.450395039131
16.219	43.356	2500	3.04941067224
16.288	43.312	2500	3.709445005917
16.357	43.268	2500	7.477811322687
16.426	43.224	2500	15.43424309478
16.495	43.18	2500	20.06977164406
16.564	43.136	2500	19.84011106551
16.633	43.092	2500	19.64149858686
16.702	43.048	2500	20.07372211033
16.771	43.004	2500	21.33425000821
16.84	42.96	2500	27.17725063253
16.909	42.916	2500	34.91775649689
16.978	42.872	2500	36.13583836692
17.047	42.828	2500	31.85461932222
17.116	42.784	2500	31.41751137203
17.185	42.74	2500	35.73604829459
17.254	42.696	2500	35.69275456332
17.323	42.652	2500	26.82210216118
17.392	42.608	2500	15.13951531962
17.461	42.564	2500	7.229942159981
17.53	42.52	2500	1.215465155191
17.599	42.476	2500	-8.423610087505
17.668	42.432	2500	-21.39707590896
17.737	42.388	2500	-33.48149238427
17.806	42.344	2500	-43.35940870437
17.875	42.3	2500	-50.28623890126
17.944	42.256	2500	-51.88177240054
18.013	42.212	2500	-50.33772125191
18.082	42.168	2500	-51.02960189411
18.151	42.124	2500	-52.50026746424
18.22	42.08	2500	-49.51853390054
18.289	42.036	2500	-43.81079226068
18.358	41.992	2500	-40.30134828987
18.427	41.948	2500	-38.53679457908
18.496	41.904	2500	-36.2735290631
18.565	41.86	2500	-35.02736464078
18.634	41.816	2500	-38.03775469464
18.703	41.772	2500	-45.56891105256
18.772	41.728	2500	-52.2497320933
18.841	41.684	2500	-53.59356581387
18.91	41.64	2500	-55.67492691441
18.979	41.596	2500	-64.48416295459
19.048	41.552	2500	-70.30335936964
19.117	41.508	2500	-65.62884221673
19.186	41.464	2500	-64.10768917728
19.255	41.42	2500	-73.71247362737
19.324	41.376	2500	-77.96816505383
19.393	41.332	2500	-69.76427578405
19.462	41.288	2500	-65.71968330018
19.531	41.244	2500	-70.32393799786
19.6	41.2	2500	-69.54163861135
13.29	44.96	2500	13.36926017181
13.359	44.916	2500	18.16689445118
13.428	44.872	2500	16.01717685524
13.497	44.828	2500	10.72561320061
13.566	44.784	2500	13.69001432447
13.635	44.74	2500	18.78141564635
13.704	44.696	2500	14.68423956279
